id,name,aliases,languages,category,subcategory,kind,maturity,status,first_release,license,organization,repository,website,summary_ja,problem_ja,tags,verification_level
autogen,AutoGen,,Python|C#,ai-data,multi-agent framework,framework,standard,active,2023,MIT,,https://github.com/microsoft/autogen,https://microsoft.github.io/autogen/,message-driven agent、tool、runtime の multi-agent framework。,複数 agent の会話・役割・execution を構造化する。,ai-data|python|c#,catalog-reviewed
crewai,CrewAI,,Python,ai-data,multi-agent framework,framework,standard,active,2023,MIT,,https://github.com/crewAIInc/crewAI,https://www.crewai.com/,role/task/crew/flow を中心にした agent framework。,business workflow を複数 specialized agent に分ける。,ai-data|python,catalog-reviewed
dspy,DSPy,,Python,ai-data,programming framework for LM systems,framework,standard,active,2023,MIT,,https://github.com/stanfordnlp/dspy,https://dspy.ai/,signature/module/optimizer で LM pipeline を program として最適化する。,手動 prompt tuning を data/metric-driven optimization に置き換える。,ai-data|python,catalog-reviewed
flux-jl,Flux.jl,,Julia,ai-data,machine learning framework,framework,seed,unknown,,unknown,,https://github.com/FluxML/Flux.jl,https://fluxml.ai/,Julia-native differentiable programming framework。,GitHub Topics から発見された。framework 本体、ecosystem component、application、誤分類のどれかを一次資料で判定する必要がある。,ai-data|core-framework,seed-unverified
haystack,Haystack,,Python,ai-data,LLM/RAG orchestration framework,framework,standard,active,2020,Apache-2.0,,https://github.com/deepset-ai/haystack,https://haystack.deepset.ai/,component pipeline による search/RAG/agent framework。,retrieval と generation pipeline を production component として構成する。,ai-data|python,catalog-reviewed
jax,JAX,,Python,ai-data,array transformation framework,framework,standard,active,2018,Apache-2.0,,https://github.com/jax-ml/jax,https://docs.jax.dev/,NumPy-like API に grad、jit、vmap、parallel transformation を加える。,数値関数を composable program transformation で accelerator 実行する。,ai-data|python,catalog-reviewed
keras,Keras,,Python,ai-data,deep learning API,framework,standard,active,2015,Apache-2.0,,https://github.com/keras-team/keras,https://keras.io/,multi-backend high-level deep learning API。,model layer/training loop の usability と portability を高める。,ai-data|python,catalog-reviewed
langchain,LangChain,,Python|TypeScript,ai-data,LLM application framework,framework,standard,active,2022,MIT,,https://github.com/langchain-ai/langchain,https://www.langchain.com/,model、prompt、tool、retriever、agent integration の LLM application framework。,LLM application の provider/tool/data orchestration を部品化する。,ai-data|python|typescript,catalog-reviewed
langchain4j,LangChain4j,,Java,ai-data,LLM application framework,framework,standard,active,2023,Apache-2.0,,https://github.com/langchain4j/langchain4j,https://docs.langchain4j.dev/,Java 向け model、tool、RAG、AI service framework。,Java application に type-safe LLM integration を提供する。,ai-data|java,catalog-reviewed
langgraph,LangGraph,,Python|TypeScript,ai-data,stateful agent workflow framework,framework,standard,active,2023,MIT,,https://github.com/langchain-ai/langgraph,https://langchain-ai.github.io/langgraph/,graph、checkpoint、human-in-loop の agent orchestration framework。,long-running stateful LLM workflow を durable graph として制御する。,ai-data|python|typescript,catalog-reviewed
lightgbm,LightGBM,,C++|Python,ai-data,gradient boosting framework,framework,standard,active,2016,MIT,,https://github.com/microsoft/LightGBM,https://lightgbm.readthedocs.io/,histogram/tree growth を最適化した boosting framework。,large tabular dataset の training speed/memory を改善する。,ai-data|c++|python,catalog-reviewed
llamaindex,LlamaIndex,,Python|TypeScript,ai-data,data framework for LLM apps,framework,standard,active,2022,MIT,,https://github.com/run-llama/llama_index,https://www.llamaindex.ai/,index、retriever、agent、data connector の LLM data framework。,private/external data を LLM application に接続する。,ai-data|python|typescript,catalog-reviewed
mlj,MLJ,,Julia,ai-data,machine learning framework,framework,seed,unknown,,unknown,,https://github.com/alan-turing-institute/MLJ.jl,https://juliaai.github.io/MLJ.jl/,Julia model interface、pipeline、evaluation framework。,GitHub Topics から発見された。framework 本体、ecosystem component、application、誤分類のどれかを一次資料で判定する必要がある。,ai-data|core-framework,seed-unverified
openai-agents-sdk,OpenAI Agents SDK,,Python|TypeScript,ai-data,agent application framework,framework,standard,active,2025,MIT,,https://github.com/openai/openai-agents-python,https://openai.github.io/openai-agents-python/,agent、handoff、guardrail、session、tracing の lightweight framework。,tool-using agent application の common control flow を実装する。,ai-data|python|typescript,catalog-reviewed
pytorch,PyTorch,,Python|C++,ai-data,machine learning framework,framework,standard,active,2016,BSD-3-Clause,,https://github.com/pytorch/pytorch,https://pytorch.org/,eager tensor/autograd、compiler、distributed training の ML framework。,Pythonic な research loop と production acceleration を両立する。,ai-data|python|c++,catalog-reviewed
scikit-learn,scikit-learn,,Python,ai-data,machine learning library/framework,framework,standard,active,2007,BSD-3-Clause,,https://github.com/scikit-learn/scikit-learn,https://scikit-learn.org/,estimator/pipeline API の classical ML framework。,preprocessing、model、evaluation を一貫した interface にする。,ai-data|python,catalog-reviewed
semantic-kernel,Semantic Kernel,,C#|Python|Java,ai-data,AI orchestration SDK,framework,standard,active,2023,MIT,,https://github.com/microsoft/semantic-kernel,https://learn.microsoft.com/semantic-kernel/,plugin、prompt、agent、memory を enterprise language ecosystem に統合する。,existing application に model/tool orchestration を組み込む。,ai-data|c#|python|java,catalog-reviewed
spring-ai,Spring AI,,Java,ai-data,AI application framework,framework,standard,active,2024,Apache-2.0,,https://github.com/spring-projects/spring-ai,https://spring.io/projects/spring-ai,Spring idiom で model、vector store、tool、RAG を統合する。,Java enterprise application に portable AI provider abstraction を導入する。,ai-data|java,catalog-reviewed
tensorflow,TensorFlow,,Python|C++,ai-data,machine learning framework,framework,standard,active,2015,Apache-2.0,,https://github.com/tensorflow/tensorflow,https://www.tensorflow.org/,tensor computation、autodiff、training、serving、device runtime の ML framework。,model 定義から distributed training/deployment まで統合する。,ai-data|python|c++,catalog-reviewed
tidymodels,tidymodels,,R,ai-data,modeling framework,framework,seed,unknown,,unknown,,https://github.com/tidymodels,https://www.tidymodels.org/,preprocess、model、tune、workflow の R modeling framework collection。,GitHub Topics から発見された。framework 本体、ecosystem component、application、誤分類のどれかを一次資料で判定する必要がある。,ai-data|core-framework,seed-unverified
xgboost,XGBoost,,C++|Python,ai-data,gradient boosting framework,framework,standard,active,2014,Apache-2.0,,https://github.com/dmlc/xgboost,https://xgboost.ai/,optimized distributed gradient boosting framework。,tabular ML の accuracy、speed、scalability を提供する。,ai-data|c++|python,catalog-reviewed
github-kurogai-100-redteam-projects,100-redteam-projects,kurogai/100-redteam-projects,Python,application-framework,topic-derived core-framework,framework,seed,unknown,2020,NOASSERTION,kurogai,https://github.com/kurogai/100-redteam-projects,https://github.com/kurogai/100-redteam-projects,Projects for security students。,分類、設計目的、歴史、現在の保守状況を一次資料で確認する必要がある。,automation|bash|core-framework|docker|framework|hacking|hacking-tools|linux|network|network-programming|powershell|programming|project|redteam|security|topic-derived|web,machine-classified
github-humanlayer-12-factor-agents,12-factor-agents,humanlayer/12-factor-agents,TypeScript,application-framework,topic-derived core-framework,framework,seed,unknown,2025,NOASSERTION,humanlayer,https://github.com/humanlayer/12-factor-agents,https://github.com/humanlayer/12-factor-agents,What are the principles we can use to build LLM-powered software that is actually good enough to put in the hands of production customers?,分類、設計目的、歴史、現在の保守状況を一次資料で確認する必要がある。,12-factor|12-factor-agents|agents|ai|context-window|core-framework|framework|llms|memory|orchestration|prompt-engineering|rag|topic-derived,machine-classified
github-1backend-1backend,1backend,1backend/1backend,Go,application-framework,topic-derived core-framework,framework,seed,unknown,2017,AGPL-3.0,1backend,https://github.com/1backend/1backend,https://1backend.com,Build AI (or any) apps with scalable microservices & microfrontends.,分類、設計目的、歴史、現在の保守状況を一次資料で確認する必要がある。,ai|ai-platform|backend-framework|core-framework|microservices|microservices-platform|on-premise|on-premise-ai|paas|self-hosted|topic-derived,machine-classified
github-eqmg-acid,Acid,EQMG/Acid,C++,application-framework,topic-derived core-framework,framework,seed,unknown,2017,MIT,EQMG,https://github.com/EQMG/Acid,https://equilibrium.games,A high speed C++17 Vulkan game engine。,分類、設計目的、歴史、現在の保守状況を一次資料で確認する必要がある。,3d-engine|c-plus-plus|core-framework|cpp17|cross-platform|game-development|game-engine|gles|gpu|graphics-library|open-source|renderer|topic-derived|vulkan|vulkan-engine|vulkan-game-engine,machine-classified
github-actionhero-actionhero,actionhero,actionhero/actionhero,TypeScript,application-framework,topic-derived core-framework,framework,seed,unknown,2011,Apache-2.0,actionhero,https://github.com/actionhero/actionhero,https://www.actionherojs.com,Actionhero is a realtime multi-transport nodejs API Server with integrated cluster capabilities and delayed tasks。,分類、設計目的、歴史、現在の保守状況を一次資料で確認する必要がある。,actionhero|api|api-server|async-await|cluster|core-framework|delayed-jobs|delayed-tasks|framework|frameworks|http|https|javascript|nodejs|server|socket-client|tcp|topic-derived|ts|typescript|websocket,machine-classified
github-activepieces-activepieces,activepieces,activepieces/activepieces,TypeScript,application-framework,topic-derived core-framework,framework,seed,unknown,2022,NOASSERTION,activepieces,https://github.com/activepieces/activepieces,https://www.activepieces.com,AI Agents & MCPs & AI Workflow Automation • (~400 MCP servers for AI agents) • AI Automation / AI Agent with MCPs • AI Workflows & AI Agents • MCPs for AI Agents。,分類、設計目的、歴史、現在の保守状況を一次資料で確認する必要がある。,ai-agent|ai-agent-tools|ai-agents|ai-agents-framework|core-framework|mcp|mcp-server|mcp-tools|mcps|n8n-alternative|no-code-automation|topic-derived|workflow|workflow-automation|workflows,machine-classified
