id,name,aliases,languages,category,subcategory,kind,maturity,status,first_release,license,organization,repository,website,summary_ja,problem_ja,tags,verification_level
autogen,AutoGen,,Python|C#,ai-data,multi-agent framework,framework,standard,active,2023,MIT,,https://github.com/microsoft/autogen,https://microsoft.github.io/autogen/,message-driven agent、tool、runtime の multi-agent framework。,複数 agent の会話・役割・execution を構造化する。,ai-data|python|c#,catalog-reviewed
crewai,CrewAI,,Python,ai-data,multi-agent framework,framework,standard,active,2023,MIT,,https://github.com/crewAIInc/crewAI,https://www.crewai.com/,role/task/crew/flow を中心にした agent framework。,business workflow を複数 specialized agent に分ける。,ai-data|python,catalog-reviewed
dspy,DSPy,,Python,ai-data,programming framework for LM systems,framework,standard,active,2023,MIT,,https://github.com/stanfordnlp/dspy,https://dspy.ai/,signature/module/optimizer で LM pipeline を program として最適化する。,手動 prompt tuning を data/metric-driven optimization に置き換える。,ai-data|python,catalog-reviewed
flux-jl,Flux.jl,,Julia,ai-data,machine learning framework,framework,seed,unknown,,unknown,,https://github.com/FluxML/Flux.jl,https://fluxml.ai/,Julia-native differentiable programming framework。,GitHub Topics から発見された。framework 本体、ecosystem component、application、誤分類のどれかを一次資料で判定する必要がある。,ai-data|core-framework,seed-unverified
haystack,Haystack,,Python,ai-data,LLM/RAG orchestration framework,framework,standard,active,2020,Apache-2.0,,https://github.com/deepset-ai/haystack,https://haystack.deepset.ai/,component pipeline による search/RAG/agent framework。,retrieval と generation pipeline を production component として構成する。,ai-data|python,catalog-reviewed
jax,JAX,,Python,ai-data,array transformation framework,framework,standard,active,2018,Apache-2.0,,https://github.com/jax-ml/jax,https://docs.jax.dev/,NumPy-like API に grad、jit、vmap、parallel transformation を加える。,数値関数を composable program transformation で accelerator 実行する。,ai-data|python,catalog-reviewed
keras,Keras,,Python,ai-data,deep learning API,framework,standard,active,2015,Apache-2.0,,https://github.com/keras-team/keras,https://keras.io/,multi-backend high-level deep learning API。,model layer/training loop の usability と portability を高める。,ai-data|python,catalog-reviewed
langchain,LangChain,,Python|TypeScript,ai-data,LLM application framework,framework,standard,active,2022,MIT,,https://github.com/langchain-ai/langchain,https://www.langchain.com/,model、prompt、tool、retriever、agent integration の LLM application framework。,LLM application の provider/tool/data orchestration を部品化する。,ai-data|python|typescript,catalog-reviewed
langchain4j,LangChain4j,,Java,ai-data,LLM application framework,framework,standard,active,2023,Apache-2.0,,https://github.com/langchain4j/langchain4j,https://docs.langchain4j.dev/,Java 向け model、tool、RAG、AI service framework。,Java application に type-safe LLM integration を提供する。,ai-data|java,catalog-reviewed
langgraph,LangGraph,,Python|TypeScript,ai-data,stateful agent workflow framework,framework,standard,active,2023,MIT,,https://github.com/langchain-ai/langgraph,https://langchain-ai.github.io/langgraph/,graph、checkpoint、human-in-loop の agent orchestration framework。,long-running stateful LLM workflow を durable graph として制御する。,ai-data|python|typescript,catalog-reviewed
lightgbm,LightGBM,,C++|Python,ai-data,gradient boosting framework,framework,standard,active,2016,MIT,,https://github.com/microsoft/LightGBM,https://lightgbm.readthedocs.io/,histogram/tree growth を最適化した boosting framework。,large tabular dataset の training speed/memory を改善する。,ai-data|c++|python,catalog-reviewed
llamaindex,LlamaIndex,,Python|TypeScript,ai-data,data framework for LLM apps,framework,standard,active,2022,MIT,,https://github.com/run-llama/llama_index,https://www.llamaindex.ai/,index、retriever、agent、data connector の LLM data framework。,private/external data を LLM application に接続する。,ai-data|python|typescript,catalog-reviewed
mlj,MLJ,,Julia,ai-data,machine learning framework,framework,seed,unknown,,unknown,,https://github.com/alan-turing-institute/MLJ.jl,https://juliaai.github.io/MLJ.jl/,Julia model interface、pipeline、evaluation framework。,GitHub Topics から発見された。framework 本体、ecosystem component、application、誤分類のどれかを一次資料で判定する必要がある。,ai-data|core-framework,seed-unverified
openai-agents-sdk,OpenAI Agents SDK,,Python|TypeScript,ai-data,agent application framework,framework,standard,active,2025,MIT,,https://github.com/openai/openai-agents-python,https://openai.github.io/openai-agents-python/,agent、handoff、guardrail、session、tracing の lightweight framework。,tool-using agent application の common control flow を実装する。,ai-data|python|typescript,catalog-reviewed
pytorch,PyTorch,,Python|C++,ai-data,machine learning framework,framework,standard,active,2016,BSD-3-Clause,,https://github.com/pytorch/pytorch,https://pytorch.org/,eager tensor/autograd、compiler、distributed training の ML framework。,Pythonic な research loop と production acceleration を両立する。,ai-data|python|c++,catalog-reviewed
scikit-learn,scikit-learn,,Python,ai-data,machine learning library/framework,framework,standard,active,2007,BSD-3-Clause,,https://github.com/scikit-learn/scikit-learn,https://scikit-learn.org/,estimator/pipeline API の classical ML framework。,preprocessing、model、evaluation を一貫した interface にする。,ai-data|python,catalog-reviewed
semantic-kernel,Semantic Kernel,,C#|Python|Java,ai-data,AI orchestration SDK,framework,standard,active,2023,MIT,,https://github.com/microsoft/semantic-kernel,https://learn.microsoft.com/semantic-kernel/,plugin、prompt、agent、memory を enterprise language ecosystem に統合する。,existing application に model/tool orchestration を組み込む。,ai-data|c#|python|java,catalog-reviewed
spring-ai,Spring AI,,Java,ai-data,AI application framework,framework,standard,active,2024,Apache-2.0,,https://github.com/spring-projects/spring-ai,https://spring.io/projects/spring-ai,Spring idiom で model、vector store、tool、RAG を統合する。,Java enterprise application に portable AI provider abstraction を導入する。,ai-data|java,catalog-reviewed
tensorflow,TensorFlow,,Python|C++,ai-data,machine learning framework,framework,standard,active,2015,Apache-2.0,,https://github.com/tensorflow/tensorflow,https://www.tensorflow.org/,tensor computation、autodiff、training、serving、device runtime の ML framework。,model 定義から distributed training/deployment まで統合する。,ai-data|python|c++,catalog-reviewed
tidymodels,tidymodels,,R,ai-data,modeling framework,framework,seed,unknown,,unknown,,https://github.com/tidymodels,https://www.tidymodels.org/,preprocess、model、tune、workflow の R modeling framework collection。,GitHub Topics から発見された。framework 本体、ecosystem component、application、誤分類のどれかを一次資料で判定する必要がある。,ai-data|core-framework,seed-unverified
xgboost,XGBoost,,C++|Python,ai-data,gradient boosting framework,framework,standard,active,2014,Apache-2.0,,https://github.com/dmlc/xgboost,https://xgboost.ai/,optimized distributed gradient boosting framework。,tabular ML の accuracy、speed、scalability を提供する。,ai-data|c++|python,catalog-reviewed
ash-framework,Ash Framework,,Elixir,application-framework,declarative resource framework,framework,standard,active,2019,MIT,,https://github.com/ash-project/ash,https://ash-hq.org/,resource、action、policy、data layer を宣言する Elixir application framework。,domain operation と API/policy/persistence の重複を減らす。,application-framework|elixir,catalog-reviewed
bloc,BLoC,,Dart,application-framework,state management framework,framework,standard,active,2018,MIT,,https://github.com/felangel/bloc,https://bloclibrary.dev/,event/state stream と Cubit による Flutter architecture。,business logic と widget rendering を predictable state transition で分離する。,application-framework|dart,catalog-reviewed
dry-rb,dry-rb,,Ruby,application-framework,modular Ruby libraries,framework,standard,active,2015,MIT,,https://github.com/dry-rb,https://dry-rb.org/,DI、types、validation、transactions 等の composable libraries。,large Ruby app の明示性と境界を高める。,application-framework|ruby,catalog-reviewed
getx,GetX,,Dart,application-framework,Flutter state/routing/DI framework,framework,standard,active,2019,MIT,,https://github.com/jonataslaw/getx,https://pub.dev/packages/get,state management、routing、DI を一 package に統合する Flutter framework。,Flutter application の common concerns を簡潔な API で解決する。,application-framework|dart,catalog-reviewed
koin,Koin,,Kotlin,application-framework,dependency injection framework,framework,standard,active,2017,Apache-2.0,,https://github.com/InsertKoinIO/koin,https://insert-koin.io/,Kotlin DSL による runtime DI framework。,Android/Kotlin application の object wiring を簡潔にする。,application-framework|kotlin,catalog-reviewed
makie,Makie,,Julia,application-framework,visualization ecosystem,framework,seed,unknown,,unknown,,https://github.com/MakieOrg/Makie.jl,https://docs.makie.org/,Julia interactive visualization framework。,GitHub Topics から発見された。framework 本体、ecosystem component、application、誤分類のどれかを一次資料で判定する必要がある。,application-framework|core-framework,seed-unverified
pinia,Pinia,,TypeScript,application-framework,Vue state management,framework,standard,active,2019,MIT,,https://github.com/vuejs/pinia,https://pinia.vuejs.org/,Vue official state store。,shared state と devtools/type support を Vue idiom で統合する。,application-framework|lineage,catalog-reviewed
redux,Redux,,JavaScript|TypeScript,application-framework,predictable state container,framework,standard,active,2015,MIT,,https://github.com/reduxjs/redux,https://redux.js.org/,single store、pure reducer、action の state management framework。,client state transition を predictable、serializable、testable にする。,application-framework|lineage,catalog-reviewed
riverpod,Riverpod,,Dart,application-framework,reactive state/DI framework,framework,standard,active,2020,MIT,,https://github.com/rrousselGit/riverpod,https://riverpod.dev/,compile-safe provider graph による Dart/Flutter state framework。,state、cache、dependency、async lifecycle を UI から分離する。,application-framework|dart,catalog-reviewed
the-composable-architecture,The Composable Architecture,,Swift,application-framework,unidirectional state architecture,framework,standard,active,2020,MIT,,https://github.com/pointfreeco/swift-composable-architecture,https://www.pointfree.co/collections/composable-architecture,state、action、reducer、effect を composable にする Swift architecture framework。,large Apple app の state/effect/test を一貫して管理する。,application-framework|swift,catalog-reviewed
abp-framework,ABP Framework,,C#|TypeScript,backend-web,application platform,framework,standard,active,2018,LGPL-3.0,,https://github.com/abpframework/abp,https://abp.io/,DDD、multi-tenancy、module、permission を含む .NET application framework。,enterprise SaaS の反復基盤を module と convention で提供する。,backend-web|c#|typescript,catalog-reviewed
actix-web,Actix Web,,Rust,backend-web,high-performance Rust web framework,framework,deep,active,2017,MIT OR Apache-2.0,Actix community,https://github.com/actix/actix-web,https://actix.rs/,Rust の型、安全性、async runtime を使い、高性能 HTTP server、extractor、middleware、routing を提供する Web framework。,低レベル network programming を直接書かず、Rust の zero-cost abstraction と type-safe handler で production Web service を作る。,rust|async|performance|type-safe,official-reviewed
